date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:20:25	58072/58072	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e1d98d47689e00f8ecbc5d9f61bdb42e%22	https://cdn.orbitpages.online/assets/libs/bootstrap/bootstrap.min.js	C:/Meus%20Sites/1200%20Atividades/cdn.orbitpages.online/assets/libs/bootstrap/bootstrap.min.js	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:26	11084/11084	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265f1d21d5fcc9d21da758adababd0c3c%22	https://cdn.orbitpages.online/assets/libs/modernizr/modernizr.min.js	C:/Meus%20Sites/1200%20Atividades/cdn.orbitpages.online/assets/libs/modernizr/modernizr.min.js	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:26	6514/6514	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c4c7071bc02ecec5aaf21cc47a8777e5%22	https://cdn.orbitpages.online/assets/libs/smooth-scroll/smooth-scroll.polyfills.min.js	C:/Meus%20Sites/1200%20Atividades/cdn.orbitpages.online/assets/libs/smooth-scroll/smooth-scroll.polyfills.min.js	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:26	15358/15358	---MCZ	200	added ('OK')	application/javascript	etag:W/%22455e0ae28db78ccd896adbe339f7a1f1%22	https://cdn.orbitpages.online/assets/libs/jarallax/jarallax.min.js	C:/Meus%20Sites/1200%20Atividades/cdn.orbitpages.online/assets/libs/jarallax/jarallax.min.js	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:26	17725/17725	---MCZ	200	added ('OK')	application/javascript	etag:W/%223184adc90609d9ccef4c7f01b1bb29ad%22	https://cdn.orbitpages.online/assets/libs/jarallax/jarallax-video.min.js	C:/Meus%20Sites/1200%20Atividades/cdn.orbitpages.online/assets/libs/jarallax/jarallax-video.min.js	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:26	115380/115380	---MCZ	200	added ('OK')	application/javascript	etag:W/%226037f6fc064ccf9b1fe8c45b4a33967c%22	https://cdn.orbitpages.online/assets/libs/plyr/plyr.min.js	C:/Meus%20Sites/1200%20Atividades/cdn.orbitpages.online/assets/libs/plyr/plyr.min.js	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:27	83/83	---MC-	308	error ('Permanent%20Redirect')	text/html	date:Thu,%2030%20Mar%202023%2003:20:30%20GMT	https://www.infocursosbrasil.com.br/OPR/	C:/Meus%20Sites/1200%20Atividades/www.infocursosbrasil.com.br/OPR/index.html	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:27	5807/5807	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Mar%202023%2003:20:30%20GMT	https://www.infocursosbrasil.com.br/e.href	C:/Meus%20Sites/1200%20Atividades/www.infocursosbrasil.com.br/e.href	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:29	505971/505971	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a731bcf7662d2e89ec5ba3032152d301%22	https://cdn.eduzzcdn.com/sun/thankyou/thankyou.js	C:/Meus%20Sites/1200%20Atividades/cdn.eduzzcdn.com/sun/thankyou/thankyou.js	(from https://www.infocursosbrasil.com.br/1200-atividades-para-educacao-infantil)
00:20:30	5807/5807	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Mar%202023%2003:20:33%20GMT	https://www.infocursosbrasil.com.br/b	C:/Meus%20Sites/1200%20Atividades/www.infocursosbrasil.com.br/b.2e.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
00:20:31	5807/5807	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Mar%202023%2003:20:34%20GMT	https://www.infocursosbrasil.com.br/POST	C:/Meus%20Sites/1200%20Atividades/www.infocursosbrasil.com.br/POST	(from https://connect.facebook.net/en_US/fbevents.js)
00:20:32	1729/1729	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2030%20Mar%202023%2003:20:35%20GMT	https://www.infocursosbrasil.com.br/OPR	C:/Meus%20Sites/1200%20Atividades/www.infocursosbrasil.com.br/OPR	(from https://www.infocursosbrasil.com.br/OPR/)
00:20:33	5807/5807	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Mar%202023%2003:20:33%20GMT	https://www.infocursosbrasil.com.br/c	C:/Meus%20Sites/1200%20Atividades/www.infocursosbrasil.com.br/c	(from https://connect.facebook.net/en_US/fbevents.js)
